date,symbol,close,trend_score
2026-01-21,TSLA,431.44,0.0
2026-01-22,TSLA,449.36,0.0415
2026-01-23,TSLA,449.06,0.0408
2026-01-26,TSLA,435.2,0.0087
2026-01-27,TSLA,430.9,-0.0013
2026-01-28,TSLA,431.46,0.0
2026-01-29,TSLA,416.56,-0.0345
2026-01-30,TSLA,430.41,-0.0024
2026-01-21,MSFT,444.11,0.0
2026-01-22,MSFT,451.14,0.0158
2026-01-23,MSFT,465.95,0.0492
2026-01-26,MSFT,470.28,0.0589
2026-01-27,MSFT,480.58,0.0821
2026-01-28,MSFT,481.63,0.0845
2026-01-29,MSFT,433.5,-0.0239
2026-01-30,MSFT,430.29,-0.0311
2026-01-21,GOOGL,328.38,0.0
2026-01-22,GOOGL,330.54,0.0066
2026-01-23,GOOGL,327.93,-0.0014
2026-01-26,GOOGL,333.26,0.0149
2026-01-27,GOOGL,334.55,0.0188
2026-01-28,GOOGL,336.01,0.0232
2026-01-29,GOOGL,338.25,0.0301
2026-01-30,GOOGL,338.0,0.0293
2026-01-21,XOM,133.61,0.0
2026-01-22,XOM,133.64,0.0002
2026-01-23,XOM,134.97,0.0102
2026-01-26,XOM,134.84,0.0092
2026-01-27,XOM,136.83,0.0241
2026-01-28,XOM,137.58,0.0297
2026-01-29,XOM,140.51,0.0516
2026-01-30,XOM,141.4,0.0583
2026-01-21,CVX,166.73,0.0
2026-01-22,CVX,166.66,-0.0004
2026-01-23,CVX,166.72,-0.0001
2026-01-26,CVX,167.5,0.0046
2026-01-27,CVX,169.05,0.0139
2026-01-28,CVX,169.93,0.0192
2026-01-29,CVX,171.19,0.0267
2026-01-30,CVX,176.9,0.061
2026-01-21,AMZN,231.31,0.0
2026-01-22,AMZN,234.34,0.0131
2026-01-23,AMZN,239.16,0.0339
2026-01-26,AMZN,238.42,0.0307
2026-01-27,AMZN,244.68,0.0578
2026-01-28,AMZN,243.01,0.0506
2026-01-29,AMZN,241.73,0.045
2026-01-30,AMZN,239.3,0.0345
2026-01-21,NVDA,183.32,0.0
2026-01-22,NVDA,184.84,0.0083
2026-01-23,NVDA,187.67,0.0237
2026-01-26,NVDA,186.47,0.0172
2026-01-27,NVDA,188.52,0.0284
2026-01-28,NVDA,191.52,0.0447
2026-01-29,NVDA,192.51,0.0501
2026-01-30,NVDA,191.13,0.0426
2026-01-21,AAPL,247.65,0.0
2026-01-22,AAPL,248.35,0.0028
2026-01-23,AAPL,248.04,0.0016
2026-01-26,AAPL,255.41,0.0313
2026-01-27,AAPL,258.27,0.0429
2026-01-28,AAPL,256.44,0.0355
2026-01-29,AAPL,258.28,0.0429
2026-01-30,AAPL,259.48,0.0478
2026-01-21,META,612.96,0.0
2026-01-22,META,647.63,0.0566
2026-01-23,META,658.76,0.0747
2026-01-26,META,672.36,0.0969
2026-01-27,META,672.97,0.0979
2026-01-28,META,668.73,0.091
2026-01-29,META,738.31,0.2045
2026-01-30,META,716.5,0.1689
2026-01-21,JPM,302.04,0.0
2026-01-22,JPM,303.63,0.0053
2026-01-23,JPM,297.72,-0.0143
2026-01-26,JPM,301.04,-0.0033
2026-01-27,JPM,300.31,-0.0057
2026-01-28,JPM,300.77,-0.0042
2026-01-29,JPM,306.42,0.0145
2026-01-30,JPM,305.89,0.0127
2026-01-21,V,325.28,0.0
2026-01-22,V,326.36,0.0033
2026-01-23,V,326.18,0.0028
2026-01-26,V,328.49,0.0099
2026-01-27,V,325.26,-0.0001
2026-01-28,V,326.98,0.0052
2026-01-29,V,331.8,0.02
2026-01-30,V,321.83,-0.0106
2026-01-21,UNH,347.75,0.0
2026-01-22,UNH,354.47,0.0193
2026-01-23,UNH,356.26,0.0245
2026-01-26,UNH,351.64,0.0112
2026-01-27,UNH,282.7,-0.1871
2026-01-28,UNH,294.02,-0.1545
2026-01-29,UNH,292.29,-0.1595
2026-01-30,UNH,286.93,-0.1749
2026-01-21,WMT,119.36,0.0
2026-01-22,WMT,117.83,-0.0128
2026-01-23,WMT,117.73,-0.0137
2026-01-26,WMT,117.64,-0.0144
2026-01-27,WMT,116.94,-0.0203
2026-01-28,WMT,116.57,-0.0234
2026-01-29,WMT,117.41,-0.0163
2026-01-30,WMT,119.14,-0.0018
2026-01-21,JNJ,218.01,0.0
2026-01-22,JNJ,218.49,0.0022
2026-01-23,JNJ,220.14,0.0098
2026-01-26,JNJ,221.49,0.016
2026-01-27,JNJ,224.44,0.0295
2026-01-28,JNJ,227.72,0.0445
2026-01-29,JNJ,227.29,0.0426
2026-01-30,JNJ,227.25,0.0424
2026-01-21,BAC,52.07,0.0
2026-01-22,BAC,52.45,0.0073
2026-01-23,BAC,51.72,-0.0067
2026-01-26,BAC,52.02,-0.001
2026-01-27,BAC,52.17,0.0019
2026-01-28,BAC,51.81,-0.005
2026-01-29,BAC,53.08,0.0194
2026-01-30,BAC,53.2,0.0217
